country,year,iso_code,population,gdp,electricity_demand,electricity_generation,per_capita_electricity,primary_energy_consumption,coal_share_elec,gas_share_elec,oil_share_elec,fossil_share_elec,renewables_share_elec,low_carbon_share_elec,nuclear_share_elec,solar_share_elec,wind_share_elec,hydro_share_elec,carbon_intensity_elec,demand_score,carbon_score,grid_stress_index,risk_level
Estonia,2025,EST,1344236.0,,9.34,6.11,4545.333,,0.0,1.309,39.116,40.426,59.574,59.574,0.0,18.494,18.822,0.491,319.15,0.029396629459262535,31.915,21.71,Low
Netherlands,2025,NLD,18346823.0,,121.11,134.96,7356.042,,7.076,34.892,3.875,45.843,51.2,54.157,2.956,21.117,24.97,0.037,253.56,0.3811804918427501,25.356,21.51,Low
Sri Lanka,2025,LKA,23229474.0,,17.25,17.25,742.591,,27.536,,10.841,38.377,61.623,61.623,,16.464,5.391,38.203,329.28,0.0542924901683382,32.928,21.41,Low
Latin America and Caribbean (Ember),2025,,,,1846.94,1846.94,,,3.558,24.261,6.714,34.533,63.475,65.467,1.992,8.571,9.97,40.158,246.97,5.813041842986119,24.697,20.09,Low
Chile,2025,CHL,19859919.0,,88.5,88.5,4456.211,,17.763,15.299,0.565,33.627,66.373,66.373,0.0,25.062,13.085,22.237,289.49,0.2785440799940829,28.949,18.88,Low
European Union (27),2025,,448992615.0,,2774.64,2797.09,6229.702,,9.181,16.677,3.091,28.948,47.727,71.052,23.325,13.134,17.118,11.668,209.897,8.732876227285674,20.9897,18.47,Low
EU (Ember),2025,,,,2774.64,2797.09,,,9.181,16.677,3.091,28.948,47.727,71.052,23.325,13.134,17.118,11.668,209.9,8.732876227285674,20.990000000000002,18.47,Low
Peru,2025,PER,34576673.0,,60.47,60.44,1747.999,,0.017,36.118,0.215,36.35,63.65,63.65,0.0,3.028,3.491,56.056,238.25,0.19032271770895134,23.825,18.13,Low
United Kingdom,2025,GBR,69551334.0,,321.38,292.31,4202.795,,0.113,31.101,4.369,35.582,51.972,64.418,12.446,6.609,29.366,1.899,217.41,1.0115084342203204,21.741,17.6,Low
Romania,2025,ROU,18908655.0,,54.39,49.81,2634.243,,13.411,18.711,0.361,32.483,47.039,67.517,20.478,9.797,11.986,24.272,250.75,0.17118658204382112,25.074999999999996,17.34,Low
Bulgaria,2025,BGR,6714556.0,,36.53,37.96,5653.389,,22.524,4.874,0.685,28.082,32.798,71.918,39.12,18.151,3.477,6.665,275.55,0.11497418352750112,27.555000000000003,16.74,Low
Armenia,2025,ARM,2952355.0,,8.14,9.72,3292.287,,0.0,34.053,0.0,34.053,38.992,65.946,26.955,11.008,0.0,27.984,211.93,0.025619760577986837,21.193,16.58,Low
Montenegro,2025,MNE,632730.0,,4.34,2.46,3887.914,,24.39,0.0,0.0,24.39,75.61,75.61,0.0,5.691,11.382,58.537,264.23,0.01365967578728045,26.423000000000002,15.25,Low
Canada,2025,CAN,40126728.0,,645.64,652.44,16259.486,,4.089,17.764,1.169,23.023,63.9,76.977,13.077,1.559,7.89,52.839,190.72,2.0320813537557028,19.072,13.44,Low
Belgium,2025,BEL,11758601.0,,86.56,72.89,6198.867,,0.0,21.539,6.448,27.987,38.935,72.013,33.077,14.337,18.823,0.604,149.82,0.2724381419693539,14.981999999999998,13.0,Low
Colombia,2025,COL,53425629.0,,91.61,90.36,1691.323,,6.12,13.756,3.099,22.975,77.025,77.025,0.0,5.091,0.166,69.168,186.81,0.2883324651780558,18.681,12.61,Low
Spain,2025,ESP,47889960.0,,275.1,287.89,6011.49,,0.32,21.557,3.484,25.36,55.858,74.64,18.781,21.849,20.411,11.372,153.6,0.8658471910324544,15.36,12.56,Low
Hungary,2025,HUN,9632286.0,,48.9,40.24,4177.617,,3.429,20.253,0.994,24.677,35.313,75.323,40.01,27.286,1.491,0.572,163.02,0.1539074069119848,16.302,12.36,Low
Latvia,2025,LVA,1853560.0,,7.52,6.27,3382.68,,0.0,26.156,0.797,26.954,73.046,73.046,0.0,13.078,3.509,46.73,138.76,0.023668378322661054,13.876,12.26,Low
Croatia,2025,HRV,3848164.0,,20.05,14.7,3820.003,,4.966,18.776,0.0,23.741,76.259,76.259,0.0,8.776,21.429,39.252,158.5,0.06310518422464817,15.85,11.9,Low
Slovenia,2025,SVN,2117070.0,,14.31,14.84,7009.688,,14.69,6.402,0.0,21.092,39.623,78.908,39.286,10.377,0.067,27.224,183.29,0.045039161409212734,18.328999999999997,11.84,Low
Ecuador,2025,ECU,18289898.0,,36.64,36.6,2001.105,,0.0,2.678,17.923,20.601,79.399,79.399,0.0,0.109,0.519,77.896,159.02,0.11532039650828471,15.902000000000003,11.0,Low
Lithuania,2025,LTU,2830150.0,,12.32,8.89,3141.176,,0.0,16.535,5.849,22.385,77.615,77.615,0.0,18.785,44.882,3.937,138.36,0.03877585384776386,13.836,10.88,Low
Georgia,2025,GEO,3806669.0,,14.7,13.5,3546.408,,0.0,20.37,0.0,20.37,79.63,79.63,0.0,0.222,0.593,78.815,145.93,0.046266643795627324,14.593,10.51,Low
Portugal,2025,PRT,10411831.0,,60.44,51.13,4910.76,,0.0,16.409,2.64,19.049,80.951,80.951,0.0,17.328,26.736,29.689,127.91,0.19022829598691945,12.791,9.63,Low
